run,cond,i,layer,vector,at_prompt_end,mean_reasoning,mean_first200,mean_last200,n_reasoning_tokens
qwen3.5-27b_20260823_223518,below_good,62,40,value_axis,16.53980827331543,13.79439640045166,13.266000747680664,14.332710266113281,10447
qwen3.5-27b_20260823_223518,below_good,62,40,random_control,-1.4791929721832275,-1.264228343963623,-1.4774688482284546,-1.3884336948394775,10447
qwen3.5-27b_20260823_223518,below_good,63,32,value_axis,-0.5086278319358826,-4.424625396728516,-3.7990293502807617,-4.1014862060546875,7563
qwen3.5-27b_20260823_223518,below_good,63,32,random_control,-0.11552993953227997,0.036272913217544556,0.15798623859882355,-0.15910080075263977,7563
qwen3.5-27b_20260823_223518,below_good,63,24,value_axis,-6.58986234664917,-9.664013862609863,-10.349752426147461,-8.959478378295898,7563
qwen3.5-27b_20260823_223518,below_good,63,24,random_control,0.4554733633995056,0.41457754373550415,0.42837318778038025,0.4964767396450043,7563
qwen3.5-27b_20260823_223518,below_good,63,40,value_axis,16.539804458618164,12.708230972290039,13.543713569641113,12.924408912658691,7563
qwen3.5-27b_20260823_223518,below_good,63,40,random_control,-1.4791936874389648,-1.3171685934066772,-1.4006164073944092,-1.3402769565582275,7563
qwen3.5-27b_20260823_223518,below_good,64,32,value_axis,-0.5086302757263184,-4.286372184753418,-3.9759819507598877,-4.4895124435424805,10498
qwen3.5-27b_20260823_223518,below_good,64,32,random_control,-0.11553022265434265,0.08236478269100189,0.12554025650024414,0.051203403621912,10498
qwen3.5-27b_20260823_223518,below_good,64,24,value_axis,-6.589860916137695,-9.627488136291504,-10.350285530090332,-9.802046775817871,10498
qwen3.5-27b_20260823_223518,below_good,64,24,random_control,0.45547306537628174,0.42429983615875244,0.4558195471763611,0.3861946165561676,10498
qwen3.5-27b_20260823_223518,below_good,64,40,value_axis,16.53980827331543,13.067424774169922,12.848276138305664,13.879948616027832,10498
qwen3.5-27b_20260823_223518,below_good,64,40,random_control,-1.4791929721832275,-1.4017925262451172,-1.3576653003692627,-1.578100562095642,10498
qwen3.5-27b_20260823_223518,below_good,65,32,value_axis,-0.508630633354187,-4.022018909454346,-3.5933444499969482,-2.0301520824432373,8448
qwen3.5-27b_20260823_223518,below_good,65,32,random_control,-0.11553037166595459,0.0673878937959671,0.15727569162845612,0.23519401252269745,8448
qwen3.5-27b_20260823_223518,below_good,65,24,value_axis,-6.5898566246032715,-9.418896675109863,-10.047584533691406,-8.725010871887207,8448
qwen3.5-27b_20260823_223518,below_good,65,24,random_control,0.4554726481437683,0.4290498197078705,0.4311164915561676,0.39937224984169006,8448
qwen3.5-27b_20260823_223518,below_good,65,40,value_axis,16.53980827331543,13.401480674743652,13.93130111694336,17.520673751831055,8448
qwen3.5-27b_20260823_223518,below_good,65,40,random_control,-1.479193925857544,-1.356094241142273,-1.3799172639846802,-1.5910708904266357,8448
qwen3.5-27b_20260823_223518,below_good,66,32,value_axis,-0.5086302757263184,-4.281217575073242,-3.868034601211548,-3.3897762298583984,10967
qwen3.5-27b_20260823_223518,below_good,66,32,random_control,-0.11553022265434265,0.09775934368371964,0.12442252039909363,0.12850095331668854,10967
qwen3.5-27b_20260823_223518,below_good,66,24,value_axis,-6.589860916137695,-9.51611042022705,-10.212185859680176,-8.869728088378906,10967
qwen3.5-27b_20260823_223518,below_good,66,24,random_control,0.45547306537628174,0.422857403755188,0.43079376220703125,0.4327041506767273,10967
qwen3.5-27b_20260823_223518,below_good,66,40,value_axis,16.53980827331543,13.04361343383789,13.089156150817871,14.644827842712402,10967
qwen3.5-27b_20260823_223518,below_good,66,40,random_control,-1.4791929721832275,-1.291555643081665,-1.3128056526184082,-1.2598947286605835,10967
qwen3.5-27b_20260823_223518,below_good,67,32,value_axis,-0.5086305737495422,-4.234008312225342,-3.617128610610962,-3.3560056686401367,9758
qwen3.5-27b_20260823_223518,below_good,67,32,random_control,-0.11553037166595459,0.052839845418930054,0.11218471825122833,0.08592959493398666,9758
qwen3.5-27b_20260823_223518,below_good,67,24,value_axis,-6.58985710144043,-9.469403266906738,-10.177107810974121,-8.953902244567871,9758
qwen3.5-27b_20260823_223518,below_good,67,24,random_control,0.4554726779460907,0.37770727276802063,0.4474884867668152,0.3749580681324005,9758
qwen3.5-27b_20260823_223518,below_good,67,40,value_axis,16.53980827331543,13.238555908203125,13.893460273742676,15.244843482971191,9758
qwen3.5-27b_20260823_223518,below_good,67,40,random_control,-1.479193925857544,-1.2925251722335815,-1.3130066394805908,-1.3758392333984375,9758
qwen3.5-27b_20260823_223518,below_good,68,32,value_axis,-0.5086305737495422,-4.112852096557617,-3.8637914657592773,-2.8620073795318604,9392
qwen3.5-27b_20260823_223518,below_good,68,32,random_control,-0.11553037166595459,0.102071613073349,0.11770107597112656,0.1324159801006317,9392
qwen3.5-27b_20260823_223518,below_good,68,24,value_axis,-6.58985710144043,-9.5765962600708,-10.384910583496094,-8.925013542175293,9392
qwen3.5-27b_20260823_223518,below_good,68,24,random_control,0.4554726779460907,0.4065355956554413,0.2956911623477936,0.4408193826675415,9392
qwen3.5-27b_20260823_223518,below_good,68,40,value_axis,16.53980827331543,13.76006031036377,13.476777076721191,16.449722290039062,9392
qwen3.5-27b_20260823_223518,below_good,68,40,random_control,-1.479193925857544,-1.4223848581314087,-1.3506100177764893,-1.4074008464813232,9392
qwen3.5-27b_20260823_223518,below_good,69,32,value_axis,-0.5086302757263184,-3.8074629306793213,-3.916923761367798,-2.5280675888061523,12067
qwen3.5-27b_20260823_223518,below_good,69,32,random_control,-0.11553022265434265,0.08776235580444336,0.057956382632255554,0.08709324896335602,12067
qwen3.5-27b_20260823_223518,below_good,69,24,value_axis,-6.589860916137695,-9.219250679016113,-10.381669044494629,-8.233307838439941,12067
qwen3.5-27b_20260823_223518,below_good,69,24,random_control,0.45547306537628174,0.3970297574996948,0.36808255314826965,0.47191131114959717,12067
qwen3.5-27b_20260823_223518,below_good,69,40,value_axis,16.53980827331543,13.912471771240234,13.42999267578125,16.163021087646484,12067
qwen3.5-27b_20260823_223518,below_good,69,40,random_control,-1.4791929721832275,-1.3643485307693481,-1.274812936782837,-1.3637689352035522,12067
qwen3.5-27b_20260823_223518,below_good,70,32,value_axis,-0.5086302757263184,-4.004176139831543,-4.099096775054932,-2.3874692916870117,10067
qwen3.5-27b_20260823_223518,below_good,70,32,random_control,-0.11553022265434265,0.0791691467165947,0.15842099487781525,0.2291439175605774,10067
qwen3.5-27b_20260823_223518,below_good,70,24,value_axis,-6.589860916137695,-9.242660522460938,-10.427581787109375,-8.551380157470703,10067
qwen3.5-27b_20260823_223518,below_good,70,24,random_control,0.45547306537628174,0.41587701439857483,0.5110923647880554,0.3695208728313446,10067
qwen3.5-27b_20260823_223518,below_good,70,40,value_axis,16.53980827331543,13.478689193725586,13.227252960205078,17.027950286865234,10067
qwen3.5-27b_20260823_223518,below_good,70,40,random_control,-1.4791929721832275,-1.3447868824005127,-1.432848334312439,-1.5180479288101196,10067
qwen3.5-27b_20260823_223518,below_good,71,32,value_axis,-0.5086302757263184,-4.041946887969971,-4.060157299041748,-2.7576799392700195,11970
qwen3.5-27b_20260823_223518,below_good,71,32,random_control,-0.11553022265434265,0.12176425755023956,0.1861777901649475,0.049589671194553375,11970
qwen3.5-27b_20260823_223518,below_good,71,24,value_axis,-6.589860916137695,-9.180912971496582,-10.521134376525879,-8.133506774902344,11970
qwen3.5-27b_20260823_223518,below_good,71,24,random_control,0.45547306537628174,0.41352203488349915,0.442149817943573,0.454471617937088,11970
qwen3.5-27b_20260823_223518,below_good,71,40,value_axis,16.53980827331543,13.108207702636719,13.04300308227539,15.441476821899414,11970
qwen3.5-27b_20260823_223518,below_good,71,40,random_control,-1.4791929721832275,-1.2793593406677246,-1.3503528833389282,-1.2231872081756592,11970
qwen3.5-27b_20260823_223518,below_good,72,32,value_axis,-0.5086305737495422,-4.429630756378174,-3.891409397125244,-2.6742019653320312,9403
qwen3.5-27b_20260823_223518,below_good,72,32,random_control,-0.11553037166595459,0.07916449010372162,0.14659245312213898,0.10391474515199661,9403
qwen3.5-27b_20260823_223518,below_good,72,24,value_axis,-6.58985710144043,-9.523998260498047,-10.250434875488281,-8.557448387145996,9403
qwen3.5-27b_20260823_223518,below_good,72,24,random_control,0.4554726779460907,0.4253571927547455,0.39777839183807373,0.4665628671646118,9403
qwen3.5-27b_20260823_223518,below_good,72,40,value_axis,16.53980827331543,12.583577156066895,13.152291297912598,16.009294509887695,9403
qwen3.5-27b_20260823_223518,below_good,72,40,random_control,-1.479193925857544,-1.3139132261276245,-1.348046898841858,-1.363649845123291,9403
qwen3.5-27b_20260823_223518,below_good,73,32,value_axis,-0.5086305737495422,-4.269100666046143,-3.7879815101623535,-2.5715138912200928,9479
qwen3.5-27b_20260823_223518,below_good,73,32,random_control,-0.11553037166595459,0.08122216910123825,0.1667194813489914,0.05489785224199295,9479
qwen3.5-27b_20260823_223518,below_good,73,24,value_axis,-6.58985710144043,-9.430071830749512,-10.070935249328613,-7.847482681274414,9479
qwen3.5-27b_20260823_223518,below_good,73,24,random_control,0.4554726779460907,0.38308772444725037,0.22844535112380981,0.43523839116096497,9479
qwen3.5-27b_20260823_223518,below_good,73,40,value_axis,16.53980827331543,12.858657836914062,13.035381317138672,14.985089302062988,9479
qwen3.5-27b_20260823_223518,below_good,73,40,random_control,-1.479193925857544,-1.3028554916381836,-1.3247817754745483,-1.2923753261566162,9479
qwen3.5-27b_20260823_223518,below_good,74,32,value_axis,-0.5086305737495422,-4.069876670837402,-3.7859888076782227,-2.854160785675049,9341
qwen3.5-27b_20260823_223518,below_good,74,32,random_control,-0.11553037166595459,0.06370523571968079,0.15537962317466736,-0.01944958046078682,9341
qwen3.5-27b_20260823_223518,below_good,74,24,value_axis,-6.58985710144043,-9.396137237548828,-10.355690956115723,-8.028044700622559,9341
qwen3.5-27b_20260823_223518,below_good,74,24,random_control,0.4554726779460907,0.4136444628238678,0.44668829441070557,0.5062488317489624,9341
qwen3.5-27b_20260823_223518,below_good,74,40,value_axis,16.53980827331543,13.375239372253418,13.70159912109375,14.306679725646973,9341
qwen3.5-27b_20260823_223518,below_good,74,40,random_control,-1.479193925857544,-1.348456859588623,-1.4613559246063232,-0.9965155124664307,9341
qwen3.5-27b_20260823_223518,below_good,75,32,value_axis,-0.5086278319358826,-4.395846366882324,-4.062906742095947,-3.3088955879211426,8066
qwen3.5-27b_20260823_223518,below_good,75,32,random_control,-0.11552993953227997,0.08075474947690964,0.12856203317642212,0.184992253780365,8066
qwen3.5-27b_20260823_223518,below_good,75,24,value_axis,-6.58986234664917,-9.658666610717773,-10.43005657196045,-9.291484832763672,8066
qwen3.5-27b_20260823_223518,below_good,75,24,random_control,0.4554733633995056,0.39899295568466187,0.3840312957763672,0.3675382137298584,8066
qwen3.5-27b_20260823_223518,below_good,75,40,value_axis,16.539804458618164,12.764059066772461,13.007421493530273,15.414877891540527,8066
qwen3.5-27b_20260823_223518,below_good,75,40,random_control,-1.4791936874389648,-1.263844609260559,-1.3189009428024292,-1.3601865768432617,8066
qwen3.5-27b_20260823_223518,below_good,76,32,value_axis,-0.5086305737495422,-4.070356369018555,-3.9700329303741455,-3.457874059677124,9769
qwen3.5-27b_20260823_223518,below_good,76,32,random_control,-0.11553037166595459,0.04513823613524437,0.18850795924663544,-0.006537823472172022,9769
qwen3.5-27b_20260823_223518,below_good,76,24,value_axis,-6.58985710144043,-9.45100212097168,-10.203729629516602,-8.893360137939453,9769
qwen3.5-27b_20260823_223518,below_good,76,24,random_control,0.4554726779460907,0.3922770619392395,0.38065680861473083,0.4738791286945343,9769
qwen3.5-27b_20260823_223518,below_good,76,40,value_axis,16.53980827331543,13.55175495147705,12.882732391357422,14.791716575622559,9769
qwen3.5-27b_20260823_223518,below_good,76,40,random_control,-1.479193925857544,-1.3151148557662964,-1.4264779090881348,-1.2404839992523193,9769
qwen3.5-27b_20260823_223518,below_good,77,32,value_axis,-0.5086307525634766,-4.080598831176758,-3.785443067550659,-3.622521162033081,15859
qwen3.5-27b_20260823_223518,below_good,77,32,random_control,-0.11553050577640533,0.11135943233966827,0.17577475309371948,0.09987720847129822,15859
qwen3.5-27b_20260823_223518,below_good,77,24,value_axis,-6.589862823486328,-9.384218215942383,-10.360071182250977,-9.058794975280762,15859
qwen3.5-27b_20260823_223518,below_good,77,24,random_control,0.4554736614227295,0.4174348711967468,0.3767652213573456,0.46972811222076416,15859
qwen3.5-27b_20260823_223518,below_good,77,40,value_axis,16.539813995361328,13.446972846984863,13.522436141967773,14.362817764282227,15859
qwen3.5-27b_20260823_223518,below_good,77,40,random_control,-1.4791934490203857,-1.3178231716156006,-1.287589430809021,-1.369377851486206,15859
qwen3.5-27b_20260823_223518,below_good,78,32,value_axis,-0.5086302757263184,-3.997612714767456,-4.1672258377075195,-2.6103200912475586,12835
qwen3.5-27b_20260823_223518,below_good,78,32,random_control,-0.11553022265434265,0.14385411143302917,0.12599006295204163,0.0574399009346962,12835
qwen3.5-27b_20260823_223518,below_good,78,24,value_axis,-6.589860916137695,-9.392655372619629,-10.452231407165527,-8.308536529541016,12835
qwen3.5-27b_20260823_223518,below_good,78,24,random_control,0.45547306537628174,0.381183922290802,0.4449543058872223,0.47237369418144226,12835
qwen3.5-27b_20260823_223518,below_good,78,40,value_axis,16.53980827331543,13.747505187988281,12.704777717590332,16.24059295654297,12835
qwen3.5-27b_20260823_223518,below_good,78,40,random_control,-1.4791929721832275,-1.3835657835006714,-1.2446914911270142,-1.4331148862838745,12835
qwen3.5-27b_20260823_223518,below_good,79,32,value_axis,-0.5086278319358826,-4.248253345489502,-6.465085029602051,-3.6581177711486816,7941
qwen3.5-27b_20260823_223518,below_good,79,32,random_control,-0.11552993953227997,0.08707607537508011,0.0785934180021286,0.04667241871356964,7941
qwen3.5-27b_20260823_223518,below_good,79,24,value_axis,-6.58986234664917,-9.53395938873291,-11.846149444580078,-8.925498008728027,7941
qwen3.5-27b_20260823_223518,below_good,79,24,random_control,0.4554733633995056,0.3691767156124115,0.4139210879802704,0.3625219762325287,7941
qwen3.5-27b_20260823_223518,below_good,79,40,value_axis,16.539804458618164,13.079357147216797,9.548452377319336,14.26709270477295,7941
qwen3.5-27b_20260823_223518,below_good,79,40,random_control,-1.4791936874389648,-1.3519419431686401,-1.1703860759735107,-1.4259437322616577,7941
qwen3.5-27b_20260823_223518,below_good,80,32,value_axis,-0.5086278319358826,-3.913753032684326,-3.9915947914123535,-2.570448398590088,7614
qwen3.5-27b_20260823_223518,below_good,80,32,random_control,-0.11552993953227997,0.07440242916345596,0.1701190173625946,0.2749079167842865,7614
qwen3.5-27b_20260823_223518,below_good,80,24,value_axis,-6.58986234664917,-9.479452133178711,-10.40478801727295,-8.480019569396973,7614
qwen3.5-27b_20260823_223518,below_good,80,24,random_control,0.4554733633995056,0.4130754768848419,0.35461729764938354,0.42947131395339966,7614
qwen3.5-27b_20260823_223518,below_good,80,40,value_axis,16.539804458618164,14.127717018127441,13.410320281982422,16.767467498779297,7614
